Title,Author,Price,More Info,Description,Genre,Publisher,Pages,Reader
#одуванчики принесут тебе письма,Арабаджян Л.,,,Օսկար Ուիլյամ Ջոնսի պատմությունը (կոշտ կազմ),Հայ ժամանակակից գրականություն,ՀԳՄ,176,
#Եթե դու լինեիր այստեղ,Էնլի Լիանա,,,Սաղմոսներ,Հայ ժամանակակից գրականություն,Հեղինակային հրատարակություն,64,
#իբր_պոեզիա,Պողոսյան Էդիկ,,,Հին օրերի կանչը,Հայ ժամանակակից գրականություն,ՎՄՎ-ՊՐԻՆՏ,224,
(Չ)Վեպ,Հովակիմյան Հովհաննես,,,Հիսուսի կատուն,Հայ ժամանակակից գրականություն,Անտարես,168,
«Հինգի ակումբի» ճանապարհորդությունը,"Էնիդ Բլայտոն
(2)",,,««Հինգի ակումբի» ճանապարհորդությունը» անգլիացի մանկագիր Էնիդ Բլայտոնի ստեղծագործությունն է։ Վեպում ընդգրկված են մի խումբ երիտասարդ երեխաների արկածները։,Մանկական գրականություն,,,"Կարինե Հովհաննիսյան
(100)"
12-ից հետո կհանդիպենք (կոշտ),Պետրոսյան Խ․,,,Խեղված ողնաշարը երկրի,Հայ ժամանակակից գրականություն,Անտարես,232,
12-ից հետո կհանդիպենք (փափուկ),Պետրոսյան Խ․,,,12-ից հետո կհանդիպենք (կոշտ),Հայ ժամանակակից գրականություն,Հեղինակային հրատարակություն,118,
150 Հոբելյանական ընտրանի,Հովհաննես Թումանյան,6900 դրամ,,"«Ընտրանին» պատրաստվել է հայ գրականության դասական Հովհաննես Թումանյանի ծննդյան 150-ամյակի առթիվ: Այս հրատարակության նպատակն է ներկայացնել մեծ գրողի ստեղծագործության բոլոր եզրերը, ինչպես նաև՝ հարուստ գեղարվեստական ներկապնակի բոլոր գույները: Գրքում տեղ են գտել բանաստեղծություններ, քառյակներ, պոեմներ, բալլադներ, լեգենդներ, պատմվածքներ, հեքիաթներ, թարգմանություններ, փոխադրություններ, հոդվածներ, ելույթներ, հատվածներ նամակներից: «Ընտրանին» կօգնի ամենապահանջկոտ ընթերցողին՝ իսկական գրականության գնահատողին, գտնել այն, ինչ մոտ է իր մտքին ու սրտին:",Հայ դասական գրականություն,,,
150 Հովհաննես Թումանյան․Կոմիտաս Վարդապետ,Հարոյան Ս.,,,Zako.Խակ պտուղ,Հայ ժամանակակից գրականություն,,,
1948 Խորհրդային օրեր,Լեռ Կամսար,4200 դրամ,Հրատարակչություն-Հեղինակային հրատարակություն-EAN-9789939757094-Կոդ-00053882-Տարեթիվ-2021-Լեզու-Հայերեն-Կազմ-Կոշտ-Էջեր-168-Չափեր-145x210-Քաշ-310 գրամ-Տարիք-16+,,Հայ դասական գրականություն,,,
